dataset_id,name,release_year,publication_year,regime,hours,episodes_or_trajectories,participants,environments,has_rgb,has_audio,has_depth,has_gaze,has_imu,has_hand_pose,has_body_pose,has_language,has_calibration,has_point_cloud,has_motion_capture,has_force_torque,has_mmwave,has_robot_state,has_robot_action,modality_count,access,license,evidence_level,verification_status,primary_source,secondary_source,last_checked,notes
gtea,GTEA,2011,2011,human_ego,,,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,open,not_specified,2,cross_checked_metadata,https://doi.org/10.1109/CVPR.2011.5995444,https://ai.stanford.edu/~alireza/GTEA/,2026-07-25,"The official page describes seven daily activities performed by four subjects with a cap-mounted camera. Reported duration is less than two hours, so hours remain blank rather than converting an upper bound into an exact value."
egtea-gaze-plus,EGTEA Gaze+,2018,2018,human_ego,28.0,86,32,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4,open,not_specified,2,cross_checked_metadata,https://doi.org/10.1007/978-3-030-01228-1_38,https://cbs.ic.gatech.edu/fpv/,2026-07-25,"The official page reports 28 de-identified hours, 86 sessions, and 32 subjects, with HD video, audio, gaze, action annotations, and sampled hand masks. Episodes stores sessions."
h2o,H2O,2021,2021,ego_exo,5.3,,4,,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,5,open,not_specified,2,cross_checked_metadata,https://arxiv.org/abs/2104.11181,https://taeinkwon.com/projects/h2o/,2026-07-25,"The paper confirms synchronized multi-view RGB-D, two-hand pose, object pose, camera pose, and scene point clouds. Duration and participant count follow the official release metadata; no dataset license was identified."
assembly101,Assembly101,2022,2022,ego_exo,513.0,,53,,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,4,open,CC-BY-NC-4.0,2,cross_checked_metadata,https://arxiv.org/abs/2203.14712,https://assembly-101.github.io/,2026-07-25,"The paper reports 4,321 videos from four ego and eight static cameras. Video count is not entered as episodes; hours and participants follow the official project release."
epic-kitchens-100,EPIC-KITCHENS-100,2021,2022,human_ego,100.0,,37,45,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,4,open,CC-BY-NC-4.0,2,cross_checked_metadata,https://arxiv.org/abs/2006.13256,https://epic-kitchens.github.io/2022,2026-07-25,"Release year follows the dataset release; IJCV article appeared in 2022. Hours, participants, and kitchens are reported values."
ego4d-v2,Ego4D,2022,2022,human_ego,3670.0,,931,74,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,5,gated_open,custom_academic,2,cross_checked_metadata,https://arxiv.org/abs/2110.07058,https://ego4d-data.org/,2026-07-25,The paper reports 931 participants; some later web material reports 923. ProjectEgo retains the paper value and flags the discrepancy.
hoi4d,HOI4D,2022,2022,human_ego,22.2,4000,9,,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,5,open,not_specified,2,cross_checked_metadata,https://arxiv.org/abs/2203.01577,https://hoi4d.github.io/,2026-07-25,Sequence count and participant count are reported by the project; duration is a secondary-audit estimate and remains metadata-level.
arctic,ARCTIC,2023,2023,ego_exo,2.17,,10,,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,5,gated_open,custom_academic,2,cross_checked_metadata,https://arxiv.org/abs/2204.13662,https://arctic.is.tue.mpg.de/,2026-07-25,The paper reports 2.1M frames with accurate 3D hand/object meshes and contact information. Duration and participant count follow official release metadata.
bridgedata-v2,BridgeData V2,2023,2023,robot_ego,,60096,,24,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,open,CC-BY-4.0,2,cross_checked_metadata,https://arxiv.org/abs/2308.12952,https://rail-berkeley.github.io/bridgedata/,2026-07-25,Trajectory and environment counts are reported release metadata; hours remain blank because no reconciled value is used.
rh20t,RH20T,2023,2023,robot_ego,,110000,,,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,7,open,not_specified,2,cross_checked_metadata,https://arxiv.org/abs/2307.00595,https://rh20t.github.io/,2026-07-25,"The paper reports over 110,000 contact-rich robot sequences with visual, force, audio, action, paired human video, and language. Hours remain blank; the arXiv article license is not treated as a dataset license."
droid,DROID,2024,2024,robot_ego,350.0,76000,50,564,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,5,open,custom_dataset_terms,2,cross_checked_metadata,https://arxiv.org/abs/2403.12945,https://droid-dataset.github.io/,2026-07-25,"Official page cross-check: 76k trajectories, 350 hours, 564 scenes, 86 tasks, and 50 collectors. Environments stores reported scenes."
ego-exo4d-v2,Ego-Exo4D,2024,2024,ego_exo,1286.0,,740,123,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,8,gated_open,custom_academic,2,cross_checked_metadata,https://arxiv.org/abs/2311.18259,https://ego-exo4d-data.org/,2026-07-25,"The 1,286 hours combine synchronized ego and exo video; they are not unique wall-clock activity hours."
hot3d,HOT3D,2024,2024,human_ego,14.0,,19,,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,5,gated_open,custom_research,2,cross_checked_metadata,https://arxiv.org/abs/2406.09598,https://www.projectaria.com/datasets/hot3d/,2026-07-25,"Release year follows the initial paper and dataset announcement. Duration is approximately 833 minutes, rounded to 14.0 hours."
nymeria,Nymeria,2024,2024,ego_exo,300.0,,264,50,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,9,gated_open,custom_research,2,cross_checked_metadata,https://arxiv.org/abs/2406.09905,https://www.projectaria.com/datasets/nymeria/,2026-07-25,"The paper reports 300 hours, 264 participants, and 50 locations with synchronized multimodal ego devices and an external observer. Dataset terms are kept separate from the paper's arXiv license."
open-x-embodiment,Open X-Embodiment,2023,2024,robot_ego,,1000000,,,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,open,mixed_by_component,2,cross_checked_metadata,https://arxiv.org/abs/2310.08864,https://github.com/google-deepmind/open_x_embodiment,2026-07-25,One-million scale is an approximate collection-level headline. Component datasets retain their own licenses and schemas.
taco,TACO,2024,2024,ego_exo,,2500,14,,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,5,open,not_specified,2,cross_checked_metadata,https://arxiv.org/abs/2401.08399,https://taco2024.github.io/,2026-07-25,"The paper reports 2.5K motion sequences with paired third-person and egocentric views, 3D meshes, and action labels. No reconciled duration or dataset license is reported."
egodex,EgoDex,2025,2025,human_ego,829.0,,,,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4,open,CC-BY-NC-ND-4.0,2,cross_checked_metadata,https://arxiv.org/abs/2505.11709,https://github.com/apple/ml-egodex,2026-07-25,Participant and environment counts are intentionally blank pending source reconciliation.
egolife,EgoLife,2025,2025,ego_exo,300.0,,6,,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,7,gated_open,S-Lab License 1.0,2,cross_checked_metadata,https://arxiv.org/abs/2503.03803,https://egolife-ai.github.io/blog/,2026-07-25,"The paper reports 300 hours from six participants living together for one week, with multimodal egocentric and synchronized third-person capture."
robomind,RoboMIND,2024,2025,robot_ego,,107000,,,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,5,open,not_specified,2,cross_checked_metadata,https://arxiv.org/abs/2412.13877,https://x-humanoid-robomind.github.io/,2026-07-25,"The RSS 2025 paper reports 107k trajectories across 479 tasks, 96 object classes, and four robot embodiments, including 5k failure demonstrations. Hours and dataset license remain unreconciled."
egoverse-2026,EgoVerse,2026,2026,human_ego,1362.0,80000,2087,240,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,6,open,CC-BY-SA-4.0,2,cross_checked_metadata,https://arxiv.org/abs/2604.07607,https://egoverse.ai/,2026-07-25,Living dataset. Values describe the paper release and require a new record when the release changes.
